タイプ,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10
kyoten4,concept,LC-00112,工賃変動積立金積立額,工賃変動積立金積立額,PL-K-AA,差額,PL,8080105000129,PL-2-4,0,工賃変動積立金積立額
kyoten4,instance,L-8080105000129-0112,工賃変動積立金積立額,工賃変動積立金積立額,LC-00112,差額,PL,8080105000129,PL-2-4,0,工賃変動積立金積立額
kyoten4,concept,LC-00113,備品積立金積立額,備品積立金積立額,PL-K-AA,差額,PL,8080105000129,PL-2-4,0,備品積立金積立額
kyoten4,instance,L-8080105000129-0113,備品積立金積立額,備品積立金積立額,LC-00113,差額,PL,8080105000129,PL-2-4,0,備品積立金積立額
kyoten4,concept,LC-00114,施設整備積立金積立額,施設整備積立金積立額,PL-K-AA,差額,PL,8080105000129,PL-2-4,0,施設整備積立金積立額
kyoten4,instance,L-8080105000129-0114,施設整備積立金積立額,施設整備積立金積立額,LC-00114,差額,PL,8080105000129,PL-2-4,0,施設整備積立金積立額
kyoten4,concept,LC-00001,現金預金,現金預金,BS-A-CUR-T,資産,BS,8080105000129,BS-3-4,0,現金預金
kyoten4,instance,L-8080105000129-0001,現金預金,現金預金,LC-00001,資産,BS,8080105000129,BS-3-4,0,現金預金
kyoten4,concept,LC-00002,定期預金,定期預金,BS-A-CUR-T,資産,BS,8080105000129,BS-3-4,0,定期預金
kyoten4,instance,L-8080105000129-0002,定期預金,定期預金,LC-00002,資産,BS,8080105000129,BS-3-4,0,定期預金
kyoten4,concept,LC-00003,事業未収金,事業未収金,BS-A-CUR-T,資産,BS,8080105000129,BS-3-4,0,事業未収金
kyoten4,instance,L-8080105000129-0003,事業未収金,事業未収金,LC-00003,資産,BS,8080105000129,BS-3-4,0,事業未収金
kyoten4,concept,LC-00004,未収金,未収金,BS-A-CUR-T,資産,BS,8080105000129,BS-3-4,0,未収金
kyoten4,instance,L-8080105000129-0004,未収金,未収金,LC-00004,資産,BS,8080105000129,BS-3-4,0,未収金
kyoten4,concept,LC-00005,未収補助金,未収補助金,BS-A-CUR-T,資産,BS,8080105000129,BS-3-4,0,未収補助金
kyoten4,instance,L-8080105000129-0005,未収補助金,未収補助金,LC-00005,資産,BS,8080105000129,BS-3-4,0,未収補助金
kyoten4,concept,LC-00006,立替金,立替金,BS-A-CUR-T,資産,BS,8080105000129,BS-3-4,0,立替金
kyoten4,instance,L-8080105000129-0006,立替金,立替金,LC-00006,資産,BS,8080105000129,BS-3-4,0,立替金
kyoten4,concept,LC-00007,前払費用,前払費用,BS-A-CUR-T,資産,BS,8080105000129,BS-3-4,0,前払費用
kyoten4,instance,L-8080105000129-0007,前払費用,前払費用,LC-00007,資産,BS,8080105000129,BS-3-4,0,前払費用
kyoten4,concept,LC-00008,年以内回収予定社会福祉連携推進業務長期貸付金,年以内回収予定社会福祉連携推進業務長期貸付金,BS-A-CUR-T,資産,BS,8080105000129,BS-3-4,0,年以内回収予定社会福祉連携推進業務長期貸付金
kyoten4,instance,L-8080105000129-0008,年以内回収予定社会福祉連携推進業務長期貸付金,年以内回収予定社会福祉連携推進業務長期貸付金,LC-00008,資産,BS,8080105000129,BS-3-4,0,年以内回収予定社会福祉連携推進業務長期貸付金
kyoten4,concept,LC-00009,社会福祉連携推進業務短期貸付金,社会福祉連携推進業務短期貸付金,BS-A-CUR-T,資産,BS,8080105000129,BS-3-4,0,社会福祉連携推進業務短期貸付金
kyoten4,instance,L-8080105000129-0009,社会福祉連携推進業務短期貸付金,社会福祉連携推進業務短期貸付金,LC-00009,資産,BS,8080105000129,BS-3-4,0,社会福祉連携推進業務短期貸付金
kyoten4,concept,LC-00010,短期貸付金,短期貸付金,BS-A-CUR-T,資産,BS,8080105000129,BS-3-4,0,短期貸付金
kyoten4,instance,L-8080105000129-0010,短期貸付金,短期貸付金,LC-00010,資産,BS,8080105000129,BS-3-4,0,短期貸付金
kyoten4,concept,LC-00011,事業区分間貸付金,事業区分間貸付金,BS-A-CUR-T,資産,BS,8080105000129,BS-3-4,0,事業区分間貸付金
kyoten4,instance,L-8080105000129-0011,事業区分間貸付金,事業区分間貸付金,LC-00011,資産,BS,8080105000129,BS-3-4,0,事業区分間貸付金
kyoten4,concept,LC-00012,仮払金,仮払金,BS-A-CUR-T,資産,BS,8080105000129,BS-3-4,0,仮払金
kyoten4,instance,L-8080105000129-0012,仮払金,仮払金,LC-00012,資産,BS,8080105000129,BS-3-4,0,仮払金
kyoten4,concept,LC-00013,その他の流動資産,その他の流動資産,BS-A-CUR-T,資産,BS,8080105000129,BS-3-4,0,その他の流動資産
kyoten4,instance,L-8080105000129-0013,その他の流動資産,その他の流動資産,LC-00013,資産,BS,8080105000129,BS-3-4,0,その他の流動資産
kyoten4,concept,LC-00014,貸倒引当金,貸倒引当金,BS-A-CUR-T,資産,BS,8080105000129,BS-3-4,0,貸倒引当金
kyoten4,instance,L-8080105000129-0014,貸倒引当金,貸倒引当金,LC-00014,資産,BS,8080105000129,BS-3-4,0,貸倒引当金
kyoten4,concept,LC-00015,土地,土地,BS-A-FIX-BASE-T,資産,BS,8080105000129,BS-3-4,0,土地
kyoten4,instance,L-8080105000129-0015,土地,土地,LC-00015,資産,BS,8080105000129,BS-3-4,0,土地
kyoten4,concept,LC-00016,建物,建物,BS-A-FIX-BASE-T,資産,BS,8080105000129,BS-3-4,0,建物
kyoten4,instance,L-8080105000129-0016,建物,建物,LC-00016,資産,BS,8080105000129,BS-3-4,0,建物
kyoten4,concept,LC-00017,定期預金,定期預金,BS-A-FIX-BASE-T,資産,BS,8080105000129,BS-3-4,0,定期預金
kyoten4,instance,L-8080105000129-0017,定期預金,定期預金,LC-00017,資産,BS,8080105000129,BS-3-4,0,定期預金
kyoten4,concept,LC-00018,車輛購入積立資産,車輛購入積立資産,BS-A-FIX-OTH-210,資産,BS,8080105000129,BS-3-4,0,車輛購入積立資産
kyoten4,instance,L-8080105000129-0018,車輛購入積立資産,車輛購入積立資産,LC-00018,資産,BS,8080105000129,BS-3-4,0,車輛購入積立資産
kyoten4,concept,LC-00019,工賃変動積立資産,工賃変動積立資産,BS-A-FIX-OTH-210,資産,BS,8080105000129,BS-3-4,0,工賃変動積立資産
kyoten4,instance,L-8080105000129-0019,工賃変動積立資産,工賃変動積立資産,LC-00019,資産,BS,8080105000129,BS-3-4,0,工賃変動積立資産
kyoten4,concept,LC-00020,備品積立資産,備品積立資産,BS-A-FIX-OTH-210,資産,BS,8080105000129,BS-3-4,0,備品積立資産
kyoten4,instance,L-8080105000129-0020,備品積立資産,備品積立資産,LC-00020,資産,BS,8080105000129,BS-3-4,0,備品積立資産
kyoten4,concept,LC-00021,施設整備積立資産,施設整備積立資産,BS-A-FIX-OTH-210,資産,BS,8080105000129,BS-3-4,0,施設整備積立資産
kyoten4,instance,L-8080105000129-0021,施設整備積立資産,施設整備積立資産,LC-00021,資産,BS,8080105000129,BS-3-4,0,施設整備積立資産
kyoten4,concept,LC-00022,土地,土地,BS-A-FIX-OTH-210,資産,BS,8080105000129,BS-3-4,0,土地
kyoten4,instance,L-8080105000129-0022,土地,土地,LC-00022,資産,BS,8080105000129,BS-3-4,0,土地
kyoten4,concept,LC-00023,建物,建物,BS-A-FIX-OTH-210,資産,BS,8080105000129,BS-3-4,0,建物
kyoten4,instance,L-8080105000129-0023,建物,建物,LC-00023,資産,BS,8080105000129,BS-3-4,0,建物
kyoten4,concept,LC-00024,構築物,構築物,BS-A-FIX-OTH-210,資産,BS,8080105000129,BS-3-4,0,構築物
kyoten4,instance,L-8080105000129-0024,構築物,構築物,LC-00024,資産,BS,8080105000129,BS-3-4,0,構築物
kyoten4,concept,LC-00025,機械及び装置,機械及び装置,BS-A-FIX-OTH-210,資産,BS,8080105000129,BS-3-4,0,機械及び装置
kyoten4,instance,L-8080105000129-0025,機械及び装置,機械及び装置,LC-00025,資産,BS,8080105000129,BS-3-4,0,機械及び装置
kyoten4,concept,LC-00026,車輌運搬具,車輌運搬具,BS-A-FIX-OTH-210,資産,BS,8080105000129,BS-3-4,0,車輌運搬具
kyoten4,instance,L-8080105000129-0026,車輌運搬具,車輌運搬具,LC-00026,資産,BS,8080105000129,BS-3-4,0,車輌運搬具
kyoten4,concept,LC-00027,器具及び備品,器具及び備品,BS-A-FIX-OTH-210,資産,BS,8080105000129,BS-3-4,0,器具及び備品
kyoten4,instance,L-8080105000129-0027,器具及び備品,器具及び備品,LC-00027,資産,BS,8080105000129,BS-3-4,0,器具及び備品
kyoten4,concept,LC-00028,建設仮勘定,建設仮勘定,BS-A-FIX-OTH-210,資産,BS,8080105000129,BS-3-4,0,建設仮勘定
kyoten4,instance,L-8080105000129-0028,建設仮勘定,建設仮勘定,LC-00028,資産,BS,8080105000129,BS-3-4,0,建設仮勘定
kyoten4,concept,LC-00029,有形リース資産,有形リース資産,BS-A-FIX-OTH-210,資産,BS,8080105000129,BS-3-4,0,有形リース資産
kyoten4,instance,L-8080105000129-0029,有形リース資産,有形リース資産,LC-00029,資産,BS,8080105000129,BS-3-4,0,有形リース資産
kyoten4,concept,LC-00030,権利,権利,BS-A-FIX-OTH-210,資産,BS,8080105000129,BS-3-4,0,権利
kyoten4,instance,L-8080105000129-0030,権利,権利,LC-00030,資産,BS,8080105000129,BS-3-4,0,権利
kyoten4,concept,LC-00031,ソフトウェア,ソフトウェア,BS-A-FIX-OTH-210,資産,BS,8080105000129,BS-3-4,0,ソフトウェア
kyoten4,instance,L-8080105000129-0031,ソフトウェア,ソフトウェア,LC-00031,資産,BS,8080105000129,BS-3-4,0,ソフトウェア
kyoten4,concept,LC-00032,社会福祉連携推進業務長期貸付金,社会福祉連携推進業務長期貸付金,BS-A-FIX-OTH-210,資産,BS,8080105000129,BS-3-4,0,社会福祉連携推進業務長期貸付金
kyoten4,instance,L-8080105000129-0032,社会福祉連携推進業務長期貸付金,社会福祉連携推進業務長期貸付金,LC-00032,資産,BS,8080105000129,BS-3-4,0,社会福祉連携推進業務長期貸付金
kyoten4,concept,LC-00033,退職給付引当資産,退職給付引当資産,BS-A-FIX-OTH-210,資産,BS,8080105000129,BS-3-4,0,退職給付引当資産
